InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName,Email,Address,PhoneNumber,Category,Supplier,StockLevel,Discount,SaleChannel,ReturnStatus,ProductWeight,ProductDimensions,ShippingCost,SalesRegion,PromotionCode,PaymentMethod
536578.0,84969,"[""description"": ""BOX OF 6 ASSORTED COLOUR TEASPOONS""]",6,12/1/2010 12:28,4.25,17763,United Kingdom,David Johnson,david.johnson@mail.com,450 Ash St,555-734-2925,Beauty,Supplier A,853,17.28,Online,Not Returned,3.81,37x38x83 cm,7.14,North America,SALE15,Bank Transfer
536446.0,21756,DOORMAT NEW ENGLAND,100,12/1/2010 10:16,795.0,15939,United Kingdom,Henry Williams,henry.williams@test.org,815 Maple St,555-782-8115,Toys,Supplier A,910,9.08,Online,Not Returned,9.51,8x65x86 cm,12.48,Asia,SALE15,Bank Transfer
536633.0,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 13:23,1.85,12295,United Kingdom,Jane Brown,jane.brown@mail.com,253 High St,555-936-2229,Sports,Supplier D,578,45.42,In-Store,Returned,7.35,17x71x89 cm,14.27,North America,DISCOUNT5,Bank Transfer
536522.0,22111,"{""description"": ""SCANDINAVIAN REDS RIBBONS""}",10,12/1/2010 11:32,1.65,15685,United Kingdom,Frank Johnson,frank.johnson@example.com,883 Elm St,555-242-3875,Beauty,Supplier C,75,29.17,Online,Returned,6.03,45x4x36 cm,15.54,Asia,,PayPal
,22634,"{""description"": ""BAKING SET 9 PIECE RETROSPOT""}",6,12/1/2010 11:07,4.95,11696,United Kingdom,Eva Smith,eva.smith@mail.com,709 Pine St,555-412-6954,Home & Garden,Supplier C,435,20.04,Online,Not Returned,1.64,70x31x19 cm,13.39,Australia,PROMO10,Bank Transfer
536694.0,22960,"{""description"": [""JAM MAKING SET WITH JARS""]}",6,12/1/2010 14:24,4.25,11946,United Kingdom,Alice Smith,alice.smith@mail.com,815 Maple St,555-319-5033,Automotive,Supplier E,103,23.1,In-Store,Returned,1.64,61x54x39 cm,5.15,North America,PROMO20,PayPal
536707.0,22139,RETROSPOT TEA SET CERAMIC 11 PC,-6,01/01/2050 00:00,6.95,12783,United Kingdom,Grace Williams,grace.williams@mail.com,547 Main St,555-691-9407,Sports,Supplier C,422,47.36,In-Store,Not Returned,0.68,91x74x90 cm,9.9,South America,SALE15,Bank Transfer
536620.0,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 13:10,3.39,13644,United Kingdom,Grace Miller,grace.miller@mail.com,256 Oak St,555-349-6631,Sports,Supplier C,704,7.67,Online,Returned,8.68,19x39x67 cm,12.77,Asia,PROMO20,Gift Card
536460.0,22634,BAKING SET 9 PIECE RETROSPOT,6,12/1/2010 10:30,4.95,15241,United Kingdom,Frank Brown,frank.brown@example.com,547 Main St,555-108-7917,Beauty,Supplier C,764,29.31,Online,Returned,6.05,45x13x92 cm,6.32,South America,PROMO10,Gift Card
536576.0,22749,,8,12/1/2010 12:26,3.75,16420,United Kingdom,Frank Brown,frank.brown@demo.net,253 High St,555-387-5873,Clothing,Supplier B,738,25.29,Online,Returned,7.11,58x20x92 cm,10.26,North America,PROMO20,PayPal
536372.0,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:02,1.85,17557,United Kingdom,Grace Wilson,grace.wilson@mail.com,547 Main St,555-597-2500,Home & Garden,Supplier E,806,30.57,Online,Not Returned,0.3,72x61x39 cm,5.5,South America,PROMO10,Gift Card
536377.0,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 9:07,3.39,12645,United Kingdom,Henry Taylor,henry.taylor@mail.com,883 Elm St,555-513-7257,Beauty,Supplier A,306,0.91,Online,Returned,9.7,1x3x77 cm,6.18,South America,DISCOUNT5,PayPal
536487.0,21724,RED HARMONICA IN BOX,10,12/1/2010 10:57,1.25,16589,United Kingdom,Alice Jones,alice.jones@test.org,450 Ash St,555-643-7154,Home & Garden,Supplier D,98,43.61,Online,Not Returned,8.34,92x62x63 cm,10.95,North America,SALE15,Gift Card
536437.0,71053,WHITE METAL LANTERN,6,12/1/2010 10:07,3.39,16353,United Kingdom,John Williams,john.williams@mail.com,921 Cedar St,555-341-9032,Home & Garden,Supplier A,850,46.61,In-Store,Not Returned,2.2,25x56x33 cm,6.99,Australia,PROMO10,Gift Card
536467.0,84029G,knitted union flag hot water bottle,6,12/1/2010 10:37,3.39,11932,United Kingdom,Alice Johnson,alice.johnson@test.org,256 Oak St,555-656-5286,Automotive,Supplier E,798,28.26,In-Store,Not Returned,1.9,38x6x58 cm,13.51,South America,PROMO20,PayPal
536404.0,84907C,  PACK OF 12 BLUE RETROSPOT TISSUES  ,20,12/1/2010 9:34,0.85,11757,United Kingdom,David Williams,david.williams@demo.net,547 Main St,555-981-4186,Sports,Supplier D,335,34.83,In-Store,Not Returned,1.92,44x45x32 cm,15.34,South America,SALE15,Cash
536676.0,22749,***FELTCRAFT PRINCESS CHARLOTTE DOLL***,8,01/12/2010 25:61,3.75,15085,### FELTCRAFT PRINCESS CHARLOTTE DOLL ###,John Johnson,john.johnson@example.com,547 Main St,555-777-8099,Toys,Supplier E,859,46.12,Online,Returned,3.11,45x61x47 cm,17.01,Australia,DISCOUNT5,Gift Card
536375.0,22960,"[""description"": ""JAM MAKING SET WITH JARS: details""]",6,30/02/2010 00:00,4.25,15637,United Kingdom,Grace Wilson,grace.wilson@example.com,253 High St,555-822-1661,Automotive,Supplier C,435,35.36,In-Store,Not Returned,5.3,21x80x85 cm,8.0,South America,SALE15,Bank Transfer
536457.0,22960,***JAM MAKING SET WITH JARS***,6,12/1/2010 10:27,4.25,11116,United Kingdom,Alice Taylor,alice.taylor@demo.net,921 Cedar St,555-820-5167,Automotive,Supplier D,447,7.63,Online,Not Returned,4.38,75x36x99 cm,7.51,South America,PROMO10,Cash
536696.0,22112,CHOCOLATE HOT WATER BOTTLE,10,Date: 12/1/2010 14:26,3.39,10492,United Kingdom,Bob Wilson,bob.wilson@example.com,390 Broadway,555-645-5346,Home & Garden,Supplier C,994,28.81,Online,Returned,2.98,19x20x57 cm,6.57,South America,DISCOUNT5,PayPal
536695.0,22139,RETROSPOT TEA SET CERAMIC 11 PC,-6,12/1/2010 14:25,6.95,18811,United Kingdom,John Johnson,john.johnson@demo.net,547 Main St,555-683-9586,Books,Supplier A,308,30.34,In-Store,Not Returned,6.16,18x47x49 cm,14.55,Europe,PROMO20,Cash
536443.0,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 10:13,3.39,17888,United Kingdom,Eva Jones,eva.jones@demo.net,883 Elm St,555-409-3720,Sports,Supplier A,249,21.21,Online,Returned,1.48,14x15x31 cm,15.6,Australia,DISCOUNT5,Credit Card
536587.0,21724,RED HARMONICA IN BOX,10,12/1/2010 12:37,1.25,16474,United Kingdom,David Taylor,david.taylor@demo.net,709 Pine St,555-251-2712,Clothing,Supplier D,166,36.82,Online,Not Returned,2.99,1x54x3 cm,5.47,South America,DISCOUNT5,Credit Card
536628.0,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,30/02/2010 00:00,3.39,19738,United Kingdom,Alice Smith,alice.smith@example.com,256 Oak St,555-375-3740,Automotive,Supplier D,481,46.72,In-Store,Returned,3.73,16x87x57 cm,19.04,Australia,,Gift Card
,71053,WHITE METAL LANTERN,6,12/1/2010 14:44,3.39,14958,United Kingdom,Bob Williams,bob.williams@test.org,547 Main St,555-719-2274,Toys,Supplier E,984,46.28,In-Store,Not Returned,4.62,75x12x74 cm,5.78,Asia,DISCOUNT5,Gift Card
,22111,***SCANDINAVIAN REDS RIBBONS***,10,12/1/2010 12:36,1.65,19797,United Kingdom,Frank Davis,frank.davis@demo.net,883 Elm St,555-308-3573,Books,Supplier E,335,22.54,In-Store,Returned,7.87,96x16x72 cm,13.12,Asia,DISCOUNT5,Bank Transfer
536683.0,21777,"{""description"": ""RECIPE BOX WITH METAL HEART""}",4,12/1/2010 14:13,7.95,19467,United Kingdom,David Wilson,david.wilson@mail.com,883 Elm St,555-363-8970,Books,Supplier C,542,5.66,Online,Not Returned,2.08,76x24x28 cm,15.64,South America,SALE15,Cash
536608.0,22112,CHOCOLATE HOT WATER BOTTLE,10,12/1/2010 12:58,3.39,12743,United Kingdom,Alice Johnson,alice.johnson@example.com,256 Oak St,555-916-9056,Clothing,Supplier D,759,49.24,In-Store,Not Returned,5.19,8x92x36 cm,18.06,Australia,PROMO20,Credit Card
536534.0,84879,assorted colour bird ornament,32,12/1/2010 11:44,1.69,17866,United Kingdom,Grace Moore,grace.moore@demo.net,390 Broadway,555-615-8266,Automotive,Supplier A,106,41.94,In-Store,Returned,5.96,90x8x58 cm,15.71,Australia,SALE15,Gift Card
536641.0,22622,  BOX OF VINTAGE ALPHABET BLOCKS  ,2,12/1/2010 13:31,9.95,17160,United Kingdom,Charlie Moore,charlie.moore@demo.net,883 Elm St,555-684-5494,Toys,Supplier E,563,6.23,Online,Returned,0.56,60x50x28 cm,17.03,Australia,SALE15,Cash
536373.0,21914,BLUE HARMONICA IN BOX,12,12/1/2010 9:03,"1,25",15451,United Kingdom,Henry Smith,henry.smith@mail.com,709 Pine St,555-813-7047,Sports,Supplier E,81,46.04,In-Store,Returned,6.11,92x41x64 cm,10.09,Europe,PROMO10,Gift Card
536366.0,22633,HAND WARMER UNION JACK,6,12/1/2010 8:28,1.85,15258,United Kingdom,David Moore,david.moore@test.org,883 Elm St,555-626-7640,Electronics,Supplier A,133,43.49,In-Store,Returned,1.79,27x63x17 cm,17.22,Asia,SALE15,Gift Card
536439.0,21914,,12,01-12-2010 10:09,1.25,18548,United Kingdom,Charlie Johnson,charlie.johnson@test.org,883 Elm St,555-913-3032,Toys,Supplier E,797,25.94,In-Store,Not Returned,0.74,73x33x84 cm,6.2,Australia,,Credit Card
536543.0,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 11:53,595.0,17186,United Kingdom,Henry Johnson,henry.johnson@test.org,883 Elm St,555-111-2341,Clothing,Supplier C,900,29.56,Online,Not Returned,9.49,77x92x29 cm,18.42,Australia,,Credit Card
536651.0,21723,***striped charlie+lola charlotte bag***,20,01/01/2050 00:00,2.95,16102,United Kingdom,David Taylor,david.taylor@demo.net,450 Ash St,555-378-2388,Books,Supplier D,138,19.95,Online,Returned,9.66,13x46x35 cm,13.21,Europe,PROMO10,Gift Card
536590.0,71053,WHITE METAL LANTERN,6,12/1/2010 12:40,3.39,19061,United Kingdom,Frank Taylor,frank.taylor@demo.net,450 Ash St,555-443-2828,Sports,Supplier A,184,2.74,Online,Not Returned,8.1,6x82x69 cm,17.26,Europe,PROMO20,PayPal
